method,case_id,stratum,query_pt,target_hpo_id,target_rank,latency_ms,candidate_count,invalid_id_count,invalid_hpo_ids,top_hpo_ids
semantic,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,2,43.104,20,0,[],"[""HP:0000253"", ""HP:0000256"", ""HP:0010636"", ""HP:0033011"", ""HP:0000400""]"
semantic,ORT-03,orthographic_variation,estrabísmo,HP:0000486,,42.2,20,0,[],"[""HP:0000565"", ""HP:0034375"", ""HP:0020046"", ""HP:0003902"", ""HP:0000039""]"
semantic,ORT-04,orthographic_variation,catarata.,HP:0000518,3,40.432,20,0,[],"[""HP:0010695"", ""HP:0007648"", ""HP:0000518"", ""HP:0032564"", ""HP:0007976""]"
semantic,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,,39.294,20,0,[],"[""HP:0002919"", ""HP:0003131"", ""HP:0012835"", ""HP:0030249"", ""HP:0000017""]"
semantic,ORT-06,orthographic_variation,hipertensao,HP:0000822,5,40.488,20,0,[],"[""HP:0010765"", ""HP:0030812"", ""HP:0006276"", ""HP:0006516"", ""HP:0000822""]"
semantic,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,,41.623,20,0,[],"[""HP:0010561"", ""HP:0008080"", ""HP:0033088"", ""HP:0034270"", ""HP:0003870""]"
semantic,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,41.61,20,0,[],"[""HP:0003324"", ""HP:0003701"", ""HP:0003427"", ""HP:0003473"", ""HP:0003323""]"
semantic,ORT-09,orthographic_variation,dor-lombar,HP:0003419,,42.448,20,0,[],"[""HP:0020083"", ""HP:0000246"", ""HP:0010561"", ""HP:0032510"", ""HP:0003691""]"
semantic,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,2,45.116,20,0,[],"[""HP:0003502"", ""HP:0004322"", ""HP:0030917"", ""HP:0010111"", ""HP:0003510""]"
semantic,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,42.075,20,0,[],"[""HP:0004485"", ""HP:0000234"", ""HP:0000064"", ""HP:0000240"", ""HP:0003887""]"
semantic,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,42.645,20,0,[],"[""HP:0004485"", ""HP:0000234"", ""HP:0007495"", ""HP:0003799"", ""HP:0002805""]"
semantic,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,41.134,20,0,[],"[""HP:0007738"", ""HP:0030857"", ""HP:0000478"", ""HP:0010727"", ""HP:0007906""]"
semantic,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,194.056,20,0,[],"[""HP:0003929"", ""HP:0007957"", ""HP:0000517"", ""HP:0008019"", ""HP:0008063""]"
semantic,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,5,41.079,20,0,[],"[""HP:0000504"", ""HP:0000551"", ""HP:0000505"", ""HP:0000572"", ""HP:0000618""]"
semantic,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,40.938,20,0,[],"[""HP:0004421"", ""HP:0030972"", ""HP:0030852"", ""HP:0020142"", ""HP:0020141""]"
semantic,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,,50.435,20,0,[],"[""HP:0007733"", ""HP:0003865"", ""HP:0003921"", ""HP:0003306"", ""HP:0007933""]"
semantic,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,1,42.912,20,0,[],"[""HP:0003324"", ""HP:0003427"", ""HP:0003473"", ""HP:0003484"", ""HP:0003701""]"
semantic,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,,41.025,20,0,[],"[""HP:0007328"", ""HP:0007021"", ""HP:0003733"", ""HP:0034373"", ""HP:0006895""]"
semantic,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,12,43.431,20,0,[],"[""HP:0007495"", ""HP:0008197"", ""HP:0002805"", ""HP:0031087"", ""HP:0003799""]"
